Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
70080010,"Sealed or vacuum insulating glass, multiple-walled insulating units",116573434,Kilogram,0,?,"218,761,658"
70080090,Other multiple-walled insulating units of glass,4533072,Kilogram,0,?,"11,811,049"
70091000,Rear-view mirrors for vehicles,42414269,Kilogram,0,?,"310,508,865"
70099100,"Glass mirrors, unframed",565396291,Kilogram,0,?,"607,491,059"
70099200,"Glass mirrors, framed",385114107,Kilogram,0,?,"1,599,039,534"
70101000,Ampoules of glass conveyance or packing,19912993,Kilogram,0,?,"28,464,525"
70102000,Stoppers/lids/other closures of glass,63235661,Kilogram,0,?,"114,839,931"
70109010,"Carboys/bottles/flasks etc of glass, > 1 l",79402767,Kilogram,0,?,"217,739,144"
70109020,"Carboys/bottles/flasks etc of glass, >0.33 l but ¡Ü1 l",693272258,Kilogram,0,?,"505,899,037"
70109030,"Carboys/bottles/flasks etc of glass, >0.15 l but ¡Ü0.33 l",226144655,Kilogram,0,?,"200,422,062"
70109090,"Carboys/bottles/flasks etc of glass, ¡Ü0.15 l",552208841,Kilogram,0,?,"1,042,826,252"
70111000,Glass envelopes (including bulbs/tubes) for electric lighting,2643927,Kilogram,0,?,"9,888,222"
70112010,"Glass envelopes for picture tubes,open,& glass parts thereof",2027,Kilogram,0,?,"457,761"
70112090,"Other glass envelopes for CRT,open,& glass parts thereof",10510,Kilogram,0,?,"468,478"
70119010,Glass envelopes for electronic tubes (excl. 70112000),102709,Kilogram,0,?,"2,530,967"
70119090,Glass envelopes (incl. bulbs/tubes) nes,48274,Kilogram,0,?,"678,325"
70131000,"Glassware of a kind used for table, kitchen etc, of glass-ceramics",35149279,Kilogram,0,?,"60,936,825"
70132200,"Stemware drinking glasses, of lead crystal",533876,Kilogram,0,?,"1,898,732"
70132800,"Stemware drinking glasses, of other glass,nes",27319546,Kilogram,0,?,"81,196,655"
70133300,"Other drinking glasses, of lead crystal",2899722,Kilogram,0,?,"8,488,122"
70133700,"Other drinking glasses,of other glass, nes",411714806,Kilogram,0,?,"912,424,642"
70134100,"Table/kitchen glassware,of lead crystal",1578474,Kilogram,0,?,"7,185,819"
70134200,"Table/kitchen glassware,within 0¡æ-300¡æ,linear co. exp¡Ü5 X 10-6 K",69171962,Kilogram,0,?,"151,391,070"
70134900,"Table/kitchen glassware,nes",511198188,Kilogram,0,?,"1,131,716,108"
70139100,"Other glassware, of lead crystal,nes",3091686,Kilogram,0,?,"18,379,546"
70139900,"Other glassware, nes",271022502,Kilogram,0,?,"895,515,375"
70140010,"Optical elements of glass for optical instruments, not opticly workd",1527571,Kilogram,0,?,"58,706,000"
70140090,"Signalling glassware (excl. 70.15), not optically worked",1415861,Kilogram,0,?,"11,526,775"
70151010,"Glasses for corrective photochromic spectacles, not optically worked",100934,Kilogram,0,?,"690,197"
70151090,"Other glasses for corrective spectacles, not optically worked",486976,Kilogram,0,?,"2,318,120"
70159010,"Clock or watch glasses, curved/bent not optically worked",188073,Kilogram,0,?,"6,729,143"
70159020,"Glasses for non-corrective photochromic spectacles, not opticll workd",73868,Kilogram,0,?,"100,403"
70159090,"Other glasses, curved/bent, not optically worked, nes",124155,Kilogram,0,?,"604,804"
70161000,Gls cubes&oth gls smallwares backed or not for mosaics or decor purp.,175390602,Kilogram,0,?,"315,608,930"
70169010,Leaded lights and the like,24089739,Kilogram,0,?,"56,403,421"
70169090,"Glass paving blocks,etc for building; foamglass blocks, etc",109161814,Kilogram,0,?,"181,511,209"
70171000,"Laboratory,hygienic or pharmaceutical glsware etc fused quartz/silica nes",5447425,Kilogram,0,?,"25,160,918"
70172000,"Laboratry glassware etc., within 0¡æ-300¡æ,linear co. exp¡Ü5 X 10-6 K 70179000 Laboratory, hygienic or pharmaceutical glassware etc nes",1271988,Kilogram,0,?,"11,134,801"
70179000,"Other glassware for lab, hygienic or pharmaceutical use",16414004,Kilogram,0,?,"72,979,872"
70181000,"Glass beads, imitation pearls/precious or semi-precious stones",103625146,Kilogram,0,?,"478,729,139"
70182000,Glass microspheres not exceeding 1 mm in diameter,151632239,Kilogram,0,?,"87,807,403"
70189000,"Glass eyes, statuetts and oth ornaments of lamp-workd glass",39884744,Kilogram,0,?,"334,111,684"
70191100,"Chopped strands of glass, length ¡Ü 50mm",140118333,Kilogram,0,?,"121,880,507"
70191200,Rovings of glass,503951099,Kilogram,0,?,"381,520,130"
70191900,"Slivers, yarn & other chopped strands of glass",55016261,Kilogram,0,?,"83,476,943"
70193100,Mats of glass fibres,105664799,Kilogram,0,?,"141,334,066"
